Feature,Chi2_Score,P_Value
order,4.673369417920313,0.19733770230417047
word,4.637960047368152,0.20030976073759868
policies,4.626709620414763,0.20126273377253934
says,4.6007495559218,0.20347779040664088
longer,4.582651029876071,0.20503542561682164
hodgetwins,4.576981026366935,0.20552568178927588
stay,4.576152751604717,0.20559738944587438
24,4.555633998140227,0.20738122063118467
bibles,4.55157046730498,0.20773618850416226
race,4.545411413207393,0.20827528384845645
cia,4.5402057816195125,0.20873193801439294
colorado,4.535176021291762,0.20917404544108942
facts,4.527008928201634,0.20989376774077736
states,4.508240020694558,0.2115564728965652
calls,4.495664299768553,0.2126773481130344
total,4.493887205144167,0.21283618321550288
second,4.47449995346216,0.2145761424933439
making,4.473021016755325,0.2147094121496051
incredible,4.461745702323578,0.2157279698975937
foreign,4.4396077742696525,0.21774080871037488
message,4.431137737151822,0.21851550530479125
world,4.421842953270788,0.21936856446609343
knows,4.4034584403553785,0.2210649236032271
question,4.40335678263717,0.2210743372316994
michigan,4.363879858559913,0.22475802304766904
flag,4.363155355758046,0.22482615372294382
human,4.354080382196186,0.22568115776758377
ad,4.332877746199446,0.22769046008047622
reporter,4.318091449392361,0.22910143827799168
money,4.317529788931301,0.2291551928057391
able,4.30322300373233,0.23052836128276358
private,4.293196414799338,0.23149521977391788
larry,4.293196414799338,0.23149521977391788
regime,4.291221056369568,0.23168614139660676
exactly,4.288308675923133,0.23196789165936688
recent,4.278332501058471,0.2329353970126861
2016,4.275472685576216,0.23321342926517244
allow,4.267545699141969,0.23398568750924484
47,4.251179749138302,0.2355875134075429
unless,4.251179749138302,0.2355875134075429
piece,4.232837013981643,0.23739477170018652
gunthereagleman,4.205663982253256,0.24009542467066272
opinion,4.205598443135258,0.2401019723143485
pro,4.165657021616945,0.24412283948062768
rbreich,4.156782928266075,0.2450245084502469
national,4.100201673994301,0.2508454639662038
boat,4.098130685641539,0.25106089728274245
atrupar,4.0828569486233235,0.25265495585291875
things,4.082617991220667,0.2526799680075651
sorry,4.050064766984305,0.25610854043695025
classified,4.0440641580971946,0.25674514044259245
nytimes,4.0440641580971946,0.25674514044259245
test,4.039865916516496,0.25719138429618865
means,3.987025731255077,0.26286852901268715
pennsylvania,3.9827094262717444,0.26333726270645325
sign,3.9170818135297343,0.2705581225538081
took,3.9109917051094394,0.27123720941512874
company,3.890971111272564,0.27348050951575287
waiting,3.890971111272564,0.27348050951575287
children,3.880929736916486,0.274611941965461
blame,3.853240633883127,0.27775379153072693
defiantls,3.8491713822941627,0.2782182471854412
allowed,3.8069230501175744,0.28308189020957264
months,3.782785118633332,0.28589487009164577
understand,3.777872373244155,0.2864704573793043
words,3.774177103336973,0.2869040883748436
podcast,3.770459793639322,0.2873409002797568
office,3.7514776014830438,0.28958077105164315
machines,3.747554918475549,0.29004558999317104
mehdirhasan,3.731161965996871,0.2919953219239242
county,3.710733900507858,0.2944414053396377
treason,3.705117522724719,0.2951171243046674
massive,3.697990402414788,0.2959766009044164
florida,3.6873420139202002,0.2972648857498741
saturday,3.6730788014243454,0.29899835666364755
meidastouch,3.6592119993507324,0.300692297341428
ordered,3.6592119993507324,0.300692297341428
doj,3.6479771943456987,0.3020709917442268
funding,3.6291110668129853,0.3043988548621136
plans,3.6182460405086365,0.30574671267178827
leave,3.6083811082109594,0.30697510215803403
campaign,3.605170282798876,0.3073758626958862
manufacturing,3.604629509809185,0.30744340526815284
testing,3.5858492947172853,0.30979725537193414
send,3.5819610010981107,0.3102865971347948
college,3.5798877868355805,0.3105477916087223
republican,3.5718120834414617,0.31156707330962236
blue,3.558378883537821,0.3132691329457745
misinformation,3.5472765266724826,0.31468207967319106
rally,3.542012974337765,0.3153539192538022
working,3.5322168947354298,0.31660767334241874
parade,3.5272346585087986,0.3172470174843247
check,3.5011474197976598,0.3206133347956511
request,3.448210392955338,0.3275414379145995
pour,3.448210392955338,0.3275414379145995
clearly,3.411889687537429,0.33237080977024375
line,3.409035208025853,0.3327529925660277
thing,3.4008362645407204,0.3338528847527382
20,3.35600952246127,0.3399229303049075
retired,3.347611391592514,0.3410708093742405
leaving,3.3229276943751986,0.34446426380596284
electoral,3.3199380811974835,0.34487726169381105
holy,3.3159806361616284,0.3454246238781893
guy,3.3087228714749424,0.3464304275170991
weird,3.2969212312486214,0.3480713819428769
lot,3.2628391838074813,0.3528483172287593
presidency,3.239594042161578,0.3561389029411816
desantis,3.239594042161578,0.3561389029411816
basically,3.227513045614999,0.35785956591172213
collinrugg,3.2021177016843665,0.3615000129275897
far,3.199418504991077,0.3618888196371588
look,3.1854432144349083,0.36390767103141586
justice,3.17715995469165,0.36510883691789986
gone,3.1716712372343125,0.3659066428876636
hours,3.169779333514985,0.3661819859648039
china,3.165835928844748,0.36675647288413443
entire,3.158186971858055,0.36787300703758313
away,3.1223488070254737,0.37314336593050573
donaldjtrumpjr,3.120559906836575,0.3734081302590104
keeps,3.1189361071155988,0.3736485984393995
stage,3.114364866616596,0.3743262651580009
defiyantlyfree,3.0786240206235105,0.3796610420954747
hard,3.0677945537608515,0.38129024217473606
showed,3.031669398432319,0.3867681048241801
desperate,3.011927246001396,0.3897898827144529
wait,3.0077552439264057,0.3904310150363468
scandal,3.0071866031729027,0.3905184700582903
comes,3.004339859089095,0.39095653923035567
asked,2.979755370123974,0.39475704344060025
calling,2.971891580797908,0.395979275641693
latino,2.9414173194463284,0.4007459453668093
genocide,2.931140032309935,0.40236433271859673
women,2.9095035028960825,0.40578943561186376
wants,2.9004317593490825,0.40723276629697314
2025,2.89195929044097,0.40858463085713315
melania,2.883526715078298,0.40993385530449244
bus,2.881789870518023,0.41021221497168925
aurora,2.8490993902350725,0.41548093174608725
breaking,2.848946890179395,0.41550564162072723
votes,2.8415166102562672,0.4167110657575066
illegals,2.837467602069424,0.4173691646951325
huge,2.8206716871752224,0.42010828493725727
majority,2.8073597660950433,0.42228980112413284
media,2.8007907136835652,0.42336976804517223
place,2.7898972218078644,0.4251657156459392
cost,2.76171013527781,0.4298419584816945
started,2.758349650411974,0.4304022783647481
public,2.7340157374235314,0.43447759265259367
libsoftiktok,2.727098427352246,0.4356418259913558
reports,2.7268061165389694,0.4356910802235584
right,2.718902935075745,0.4370244909000566
black,2.7161992112181057,0.4374814239199246
traitor,2.6788263252764413,0.44383753921192526
music,2.6788263252764413,0.44383753921192526
attention,2.6726981867657162,0.4448869077234905
using,2.664690905232414,0.44626109199243136
health,2.6644877969046252,0.44629599354241944
cbs,2.6505428118867163,0.44869755653127763
mind,2.6468703983551527,0.4493317463227039
important,2.605763430131667,0.45648003892571554
idea,2.5945957606138665,0.4584377676544119
nypost,2.569279444270549,0.46290072815107164
12,2.5679548600566444,0.46313518946949006
illegal,2.5436630082668414,0.4674518529577013
totally,2.540370328294264,0.4680394192618088
hillary,2.538484039807692,0.46837628470062653
needed,2.5334286447018473,0.46928005931682526
citizens,2.522567578042524,0.4712264191364658
running,2.5132882770785985,0.4728943801308402
kylegriffin1,2.4993492092910845,0.47540870727830875
time,2.494528197420358,0.4762807722871969
journalist,2.490738655794911,0.4769671410119175
little,2.4518102898345577,0.4840630246166935
wearing,2.4487937040393275,0.4846163227908168
behizytweets,2.4283480578905365,0.48837945677377814
answer,2.4021492336312376,0.4932346689430419
weeks,2.3956024085058996,0.49445375797074664
zero,2.3857169434482355,0.4962989471175221
univision,2.377519230030706,0.4978331297290375
going,2.3623097835296942,0.5006892033344039
baby,2.3596107336221657,0.5011973502716056
actual,2.358879637833642,0.5013350608504732
poll,2.357573614697776,0.5015811380070596
record,2.3568153894465507,0.5017240431098449
believes,2.3394664717458693,0.5050023692946863
georgia,2.3363785884865504,0.505587580412584
jill,2.336248187116821,0.5056123052680599
service,2.331819675390754,0.5064525241081308
cover,2.304995401265681,0.5115645962695647
spoke,2.3007985948024823,0.5123679346767638
heart,2.296545399061218,0.5131830398545372
maddenifico,2.2908942184541763,0.5142675771684844
deep,2.281133162170565,0.5161449248129995
confirmed,2.2481193037262135,0.5225326598588373
nyt,2.2440881644031725,0.5233166625326884
patriots,2.2440881644031725,0.5233166625326884
end,2.2335103423743505,0.5253780743927507
year,2.2201089566531116,0.5279984024543476
stein,2.2188228022742345,0.5282503885108636
asking,2.213071055231703,0.529378372002288
court,2.1883976997817394,0.5342372766824299
went,2.1604548300981747,0.5397794778558589
false,2.1416890320560737,0.543524936475168
face,2.135232608999634,0.5448179164489091
texas,2.124813753628899,0.5469091065042968
special,2.119818809778508,0.5479137005176431
putting,2.0912908782446777,0.5536766864231051
constitution,2.072621911794542,0.5574713630042551
starts,2.0694294192297225,0.5581221145111197
comment,2.0596240895513773,0.5601241701682402
happen,2.050185349302219,0.562056151698793
vote,2.0423445680644496,0.5636646088141013
list,2.0420148642631712,0.5637323148377018
mental,2.0385352119015208,0.564447222865754
change,2.0323712353677115,0.5657151915148568
left,2.013024013395647,0.5697079271794716
break,2.011004457761852,0.5701258326606886
sheriff,2.0029927161194845,0.5717857874447607
bring,2.001525604406453,0.5720901199492983
wisconsin,1.9935128656275385,0.5737542247432061
security,1.9878375757733984,0.5749348950714008
trumpwarroom,1.984593476971268,0.5756105362187693
goes,1.9797754392201274,0.5766149817336261
60,1.9734741771948783,0.5779304520551765
crazy,1.967178213669337,0.5792468596790996
political,1.9588086498950659,0.5809999876384959
claims,1.9568324363422356,0.5814144594942008
lie,1.9441394834380343,0.584081326104327
sunday,1.939926044271227,0.5849684167300977
gov,1.9124068266695657,0.5907844953917405
reporting,1.904957758157099,0.5923654291825742
continue,1.8856272145295225,0.5964810386331565
living,1.8809206662736178,0.5974859356467079
clips,1.8702113301630965,0.5997766167155516
big,1.8554377244902098,0.6029460015741419
questions,1.8534060065623104,0.6033827135984318
real,1.8287993853197249,0.6086880098711109
watching,1.817008279565285,0.6112407563820241
raise,1.814515192233607,0.6117813729175552
likely,1.814515192233607,0.6117813729175552
woodward,1.8122747216540498,0.6122674686318981
crowd,1.8018175656513433,0.6145394930022166
phone,1.8003910855134935,0.6148498348850031
bob,1.7933826592385491,0.6163760010544579
citizen,1.7932387170753838,0.6164073709730098
plan,1.7755096784915172,0.6202787497599294
saw,1.7679395472541675,0.6219363750200864
millions,1.7439774682741882,0.6272012605999988
virginia,1.7436595105854922,0.6272713035876281
keithboykin,1.6930970713507822,0.638469563770395
turned,1.6821550144130852,0.6409084049310974
news,1.6786057533652614,0.6417006541416144
believe,1.6491865895395554,0.6482892191236143
endorsing,1.625307744276287,0.6536651697568896
vivekgramaswamy,1.609855402255444,0.6571572436883808
failed,1.5960482499170716,0.660286184169186
school,1.5846003842243812,0.6628865982944103
clip,1.5452266291313845,0.6718720643220277
raised,1.5164432220618864,0.6784804764261223
sense,1.5084860814598204,0.6803131367212623
absolutely,1.4995167100267477,0.6823818779042219
helene,1.4747492646265628,0.6881103281663433
hit,1.4592343183387855,0.6917104737431827
actually,1.4527631290056897,0.6932146835080946
handful,1.4103358435876112,0.7031137505383857
potus,1.3664507375589738,0.7134173588291235
families,1.3613386831833305,0.7146216454484902
beautiful,1.3435136368826819,0.7188271724956874
photo,1.3342344186016688,0.7210202708276259
steve,1.3269187225230936,0.7227511006399019
twitter,1.3265455935801325,0.7228394217264708
chuckcallesto,1.3246086721717194,0.7232979637377903
maybe,1.3197331864515263,0.7244526549765562
chicago1ray,1.2928308771313575,0.7308361556343239
ron,1.2852721097778892,0.7326332956081587
reminder,1.2852721097778892,0.7326332956081587
rhetoric,1.249858568701801,0.741072654816799
hitler,1.2318691514716484,0.7453713556169619
coming,1.2306571163140863,0.7456612470095687
shocking,1.219830812931497,0.7482520984421599
beer,1.2169463221716166,0.7489428189652048
speaks,1.2169463221716166,0.7489428189652048
head,1.2006005953403336,0.7528602676869478
set,1.1693232731433378,0.7603708639798997
accountablegop,1.1671199789669493,0.7609006116295461
needs,1.1613727424011115,0.7622828357954256
murder,1.124876771074871,0.7710723787337812
led,1.124876771074871,0.7710723787337812
tax,1.1237037361153346,0.7713552075838624
outside,1.1096407207179375,0.774747299852988
statement,1.0847551015641679,0.7807554789566816
miller,1.0802346513080956,0.7818475320468011
course,1.0261251924227381,0.7949307800709283
reported,1.0242777697120466,0.7953777324507613
cult,1.0131590695510013,0.7980678929544117
notice,0.9866438822471892,0.8044836980257067
child,0.9565879101296174,0.8117547254821427
lara,0.9246834196236693,0.8194674135912052
november,0.8854638712203845,0.8289342190834498
destroyed,0.8806713565274338,0.8300895716594372
reality,0.8796966553791319,0.8303245018010125
worked,0.8585883615613612,0.8354081033490823
makes,0.8492730555071897,0.8376488293173456
used,0.8257084653851561,0.8433085381776199
teleprompter,0.8014776567519337,0.8491135648119675
seriously,0.7935488886967743,0.8510094239064617
elections,0.7761028439116118,0.8551739593621525
doubt,0.7635211329264704,0.8581708935323411
coup,0.7299460786026081,0.8661387369205605
rest,0.7123816980550097,0.870287856793561
russia,0.701973905816782,0.8727395685276723
pass,0.6905582299653114,0.8754224700627584
point,0.6879169463906043,0.8760422584095231
yesterday,0.6729854819664017,0.8795388807518716
policy,0.6236586692044779,0.8909955407194873
artcandee,0.6151473791064194,0.8929561401734312
taxes,0.6151473791064194,0.8929561401734312
country,0.5827520353094512,0.9003692975101685
speech,0.5590897201404076,0.9057305622954779
headline,0.552446583972249,0.9072269542428331
hear,0.5411988466716662,0.9097513301402582
epstein,0.5389840697170852,0.910247001938566
taking,0.5203145842395989,0.9144062491923033
law,0.4667394220086164,0.9261354383838375
leader,0.4602888156068471,0.9275250383042866
today,0.4505101454313614,0.9296215333257504
future,0.4489858917890213,0.9299472127391223
tarabull808,0.4489858917890213,0.9299472127391223
youtube,0.3765863509415428,0.9450355840261894
disinformation,0.3765863509415428,0.9450355840261894
old,0.3642678225121462,0.9475208622859721
coachella,0.36051167920787636,0.9482734332585762
game,0.2960022696474104,0.9607785837708117
early,0.2412389676967714,0.97067238361454
jojofromjerz,0.1902095658506448,0.9791541167392289
minutes,0.1334323926169062,0.9875436031065378
50,0.06427382052993748,0.995748802873445
follow,0.06400916518469915,0.9957746988344681
economic,0.04874314117273369,0.9971793625746438
