Feature,Chi2_Score,P_Value
hotel,36.8539507965146,4.940677929621678e-08
miami,36.55774608636696,5.707458097158557e-08
le,35.95038288194884,7.67145661129702e-08
dbongino,35.86660685079256,7.99077786003349e-08
voteharrisout,35.749687018500346,8.45873621055376e-08
hate,35.41031722401447,9.977807504608557e-08
karilake,34.94494675420354,1.2513165595227436e-07
plane,34.85811111167958,1.305303874706155e-07
candidate,34.72622503002568,1.3917808661288088e-07
imagine,34.49866008817969,1.5546563281265832e-07
good,34.338601500167876,1.6804863252055835e-07
new,32.66651366324499,3.786867487009432e-07
brutal,32.640629619943844,3.8347610759454773e-07
love,32.589953067246014,3.9302863137369095e-07
endorse,31.870595539939888,5.572625903916577e-07
el,31.487667009247748,6.710250855650382e-07
chaos,31.309877339304773,7.314547121112066e-07
kamalaharris,30.970788661643468,8.62172200900374e-07
prison,30.83432584974634,9.211373289980037e-07
bless,29.431851106034493,1.8170707778714405e-06
ck,29.064668989606684,2.170441029957218e-06
wanted,28.908778794567255,2.3404780688058696e-06
endorsed,28.752087143471048,2.5247824921575405e-06
jdunlap1974,28.74164828306803,2.5375632283033027e-06
elonmusk,28.579007307442616,2.7452365322026653e-06
wray,28.418703220877315,2.966509582154714e-06
capitol,28.080230353480708,3.4938925593760415e-06
ban,28.078741184956137,3.496408298688415e-06
stopped,27.966992546211113,3.690440027789043e-06
hands,27.943503917051373,3.7325705365978616e-06
clinton,27.83480217791615,3.933878583735178e-06
liberal,27.81088159333688,3.979611789664074e-06
refusing,27.64321153096337,4.315414017166805e-06
retweet,27.408116081534565,4.834372662422139e-06
liar,27.355501113081203,4.958789124729522e-06
loses,27.063286075734748,5.7102123762873136e-06
god,26.88174688422597,6.233176003379983e-06
sucks,26.555346304611202,7.296471185095014e-06
social,26.216849019952953,8.590555995505928e-06
insane,26.16809961924246,8.794896279487437e-06
alert,26.126415627363368,8.973460662618074e-06
vance,26.018307508129034,9.453598487971842e-06
mad,25.9537349900733,9.752516612216714e-06
bush,25.89548156922179,1.0030260547622637e-05
worse,25.489609767435624,1.2197081257331908e-05
stand,25.454190692408822,1.2406989898787797e-05
americans,25.31927637816502,1.3240072549596485e-05
attempt,25.232091491159732,1.3807864609651293e-05
district,25.184256269667536,1.4129639872994108e-05
en,24.80692035613873,1.694437958132278e-05
death,24.4622040591354,2.0001482208872788e-05
racist,24.417064266131504,2.044054466161809e-05
threat,24.272213932228855,2.1915391703898632e-05
yes,24.19274273092401,2.2769138552448084e-05
dear,24.025238523264765,2.4678730961322168e-05
harryjsisson,24.0172780795769,2.4773353700255348e-05
straight,23.79756474981215,2.7532672995881595e-05
admits,23.605139916647005,3.01997008132954e-05
republicans,23.361755437370263,3.39447941333044e-05
kill,23.201547616590737,3.665910881598765e-05
schiff,23.190302816502484,3.685755237813919e-05
para,23.090955806781686,3.8657953795821294e-05
stop,22.942082729196947,4.1521233394692134e-05
relief,22.91056138939984,4.2154079982529724e-05
ally,22.709947389284057,4.641318455969825e-05
rallies,22.627570559874567,4.828386012656717e-05
6th,22.484552845669885,5.1711767768363093e-05
moment,22.45184721830342,5.252912788724989e-05
worst,22.300220681098263,5.64898767129167e-05
cnn,22.249902443756255,5.7868949484670557e-05
sure,22.204629539753576,5.9138384219013066e-05
ðÿ,22.063968758085654,6.326216170543534e-05
adamparkhomenko,22.05161629021261,6.36377021021549e-05
bennyjohnson,22.02074386554784,6.458602703344465e-05
supporting,21.817395736388164,7.119395604771611e-05
accused,21.69087208732275,7.564096620936648e-05
usa,21.561872701537872,8.045989607761083e-05
caught,21.193251806599626,9.598184158552883e-05
currently,21.160358397236777,9.750403134912475e-05
failure,21.124256817267643,9.920236896736999e-05
openly,21.101393199720274,0.00010029315262577036
legend,20.99177800616517,0.0001056909020336157
ready,20.72812065611356,0.00011988833074765407
secretly,20.49115464928143,0.0001342608896222406
fuck,20.4667942504209,0.00013583233098220162
penalty,20.32225656839208,0.00014554006884635257
wall,20.309903206081945,0.000146401132241057
responsible,20.29237406390378,0.00014763167280607277
told,20.002065320644522,0.0001695752284505878
played,19.94477698052082,0.0001742746300755035
york,19.932661294018907,0.00017528497454378033
favorite,19.917937737025056,0.00017652064397141276
cities,19.901365333126535,0.00017792185200927609
opponent,19.89249642707088,0.00017867626618651818
disaster,19.86856096410535,0.00018072821362698636
lied,19.800660664540214,0.00018667772480843877
forget,19.66838457357337,0.00019883338411217483
debt,19.64902528794376,0.00020067731579960857
fascist,19.615947329744163,0.00020386738871073045
