Date,Tweet
Oct-11,breaking one trump tax cut allowed 15 corporations avoid paying 1 billion taxes including google meta amazon google alone saved 11 billion
Oct-10,detroit hosted largest nfl draft tigers playoffs lions headed super bowl without trump help
Oct-11,quick question everyone think trump dementia
Oct-11,get fact trump secretly shipped covid tests putin hospitals faced shortages americans scandalous revelation
Oct-07,donald trump adjudicated rapist convicted felon brags sexual assault stole right bodily autonomy
Oct-09,george bush bill clinton barack obama joe biden kamala harris held power 28 last 32 years five blaming trump
Oct-04,let summarize maga mentality news fake covid fake polls fake elections fake trump convictions fake
Oct-09,trump announced wind nothing left mind
Oct-11,zero doubt donald trump years held continues hold contents 4500 fbi citizens reports kompromat
Oct-10,obama gon na haunt donald trump dreams tonight
Oct-07,breaking following trump continued lies regarding hurricane relief republican governors come even republicans admitting trump lies dangerous
Oct-11,increasingly hyperbolic language trump migrant crime aurora talking communities invaded conquered immigrants
Oct-10,trump ruling presidential debates cnn inviting trump kamala harris participate town hall events voters
Oct-09,biden disinformation federal storm response lies trump led onslaught lies
Oct-09,called us insane saying trump serves putin slammed us saying kremlin asset well trump exposed sending covid tests putin
Oct-11,barack obama hitting campaign hard kamala leftists fawn obama spyed americans snowden trump
Oct-11,barack obama knows secret demolishing trump gleefully bully bully key
Oct-11,given chance donald trump would make america like russia needs stopped
Oct-07,mike johnson going let people die wants donald trump back white house
Oct-10,overlook comments made trump one rallies asking would rather black president white president
Oct-09,confused trump rally congress
Oct-10,another perk voting kamala harris donald trump finally held accountable
Oct-06,start long day think want respond heart bs livid anything would said would put black sedan driveway
Oct-09,omg mets
Oct-09,concise summary trump rally pa women stupid hate
Oct-10,see hear barack obama america follow brilliant obama morally bankrupt trump
Oct-11,people shocked find trump contact putin least 7 times since leaving office
Oct-09,donald trump taught us anything trusted help people disaster
Oct-11,trump clearly reading teleprompter aurora co said use teleprompters
Oct-09,long trump apply disaster relief florida property
Oct-09,president biden blistering trump marjorie taylor greene republicans spreading disinformation amid ongoing natural disasters
Oct-11,donald trump totally normal one posting thinks obama vote like kamala low iq person
Oct-10,obama absolutely wrecking trump right
Oct-10,donald trump stupidest motherfucker history stupidity
Oct-10,trump loudmouth bully back bus harassing everyone someone knocks fuck
Oct-09,reporter ask merrick garland trump arrested 7 recent conversations vladimir putin stole classified documents
Oct-10,trump autonomous vehicles death never work
Oct-09,donald trump old said people idea phone app nation 96 population smartphone
Oct-08,citizen trump 7 private calls putin since leaving office really going vote someone vladimir putin speed dial
Oct-09,news reporting kamala harris medicare proposal could transform care middle class
Oct-09,trump maga hellbent destroying american dream
Oct-10,post lot silly random nonsensical fluff life crazy rock levity came app find tribe trump admin
Oct-10,first case appeared january 20 february 7th trump sent ppe china virus shores gave away equipment needed protect us
Oct-04,trump posted truth social endorsed chase ceo jamie dimon dimon said true asked trump
Oct-10,reminder oklahoma maga lunatic superintendent wants spend taxpayer money trump bibles classrooms state
Oct-04,anyone deserves rot prison rest miserable life donald trump
Oct-08,many americans died donald sent covid tests russia
Oct-11,trump win election 6 months jd vance trump cabinet enact 25th amendment citing trump mental decline
Oct-10,wonder republicans hannity everyone else fox news would say found obama private phone conversations iran supreme leader
Oct-11,trump telling easily disproven blatant lies like even care know lying behaving like guy knows leader cult
Oct-11,kamala scripted teleprompter univision town hall getting ripped shreds latino morning programs
Oct-05,hurricane helene revealed lot donald trump americans needed support trump revealed selfish center showed
Oct-11,sorry tell vote help trump get elected walk free
Oct-09,got notification state ca ballot accepted counted easy vote everywhere harriswalz
Oct-07,trump nothing project heritage foundation everything project 2025 nothing trump
Oct-10,donald trump incoherent moron
Oct-09,let forget reason trump jail stealing classified documents appointed judge overseeing case
Oct-11,vote like life depends absolutely
Oct-10,kremlin confirmed trump sent tests putin pandemic
Oct-09,vote kamala harris tim walz america survive trump second time
Oct-10,harris generous honestly think trump loves family love anyone anything
Oct-11,gop buying polls make race look closer msm reporting narrative trump loses lot scream shenanigans
