Date,Tweet
Oct-10,fool elon know secret plan get trump marry mom call daddy
Oct-10,places donald trump hates detroit milwaukee prison swing states trump win election without michigan wisconsin
Oct-09,would trump send covid tests putin hoax
Oct-11,trump weak pass
Oct-11,trump requesting military aircraft vehicles say aid next coup
Oct-09,trump bibles made china instead united states
Oct-11,maga influencers politicians constantly push nonsense morons would believe ensuring control party long term
Oct-10,trump gop used accuse obama running shadow government exactly trump
Oct-09,trump bibles paid 3 selling 80 suckers
Oct-11,elmo many things send army bots vote traitor donald trump
Oct-09,kamala harris raised billion dollars nominated president amount
Oct-10,revelation inevitable learning trump god bless usa bibles made china
Oct-11,trump promised america lose one auto plant presidency lost six trump abandoned manufacturing kamala harris created
Oct-10,much could without trump blustery bloviations eternity starting feel raspy rants ways even disturbing
Oct-10,mass deportations everyone illegally destroy economy trump promising
Oct-10,women time make voices heard get vote show trump everyone like done misogyny abuse
Oct-10,loving potus looked camera told trump get life help hurricane victims also job
Oct-10,think white protect dangers trump becoming president invite read history book
Oct-10,dear weather channel stop saying reaching president trump thoughts former president
Oct-10,tax tips social security overtime pay interest car trump igniting presidential campaign
Oct-09,nikki haley voters sink trump election chances
Oct-10,donald trump president two things jack shit
Oct-11,trump momentum week crashes burns though people remember destroyed roe wade
Oct-10,thinks trump america worst president ever
Oct-09,government control weather turn hurricanes trump
Oct-11,24 son casting first ever presidential vote donald j trump prouder
Oct-09,according bob woodward bombshell reporting trump putin trump secretly sending covid supplies putin height pandemic
Oct-10,long days never gave two fucks american politics
Oct-10,prez obama said think donald trump ever changed diaper would say depends vote blue
Oct-11,one indicator trump cognitive decline advancement sudden dredging something past
Oct-11,russia confirming claim sent covid tests supplies donald trump height pandemic
Oct-11,promise haitian people working hard building lives springfield better maga trump vance weaponized vote blue
Oct-11,moment trump lost election harris shifted drastically center prediction
Oct-11,character everything trump none period
Oct-09,maga hurt geraldo pointing obvious trump turned millions liars
Oct-09,kamala harris stunned audience silence impassioned reminiscence like trump sent covid tests putin americans dying
Oct-07,thinks kamala way better president trump
Oct-09,new pa poll bullfinchgroup harris 50 trump 46 harris
Oct-09,daily reminder trump scab screws workers refused pay overtime wages pay people general
Oct-09,crazy conservatives complaining spend resources home instead sending covid supplies putin 2020
Oct-08,people suddenly mad bob woodward forget warned trump pandemic back early million people died lost moral center years ago
Oct-08,private citizens forbidden federal logan act engaging foreign policy undercutting america trump least seven phone calls putin since leaving office
Oct-08,disgusted beyond belief vietnam war veteran would give trump purple heart trump bought way vietnam coward
Oct-11,donald trump prepares give hate rally aurora colorado want point founding fathers stressed importance immigration would loathed maga
Oct-11,remember thing republicans 2020 flooded zone junk polls make look like trump winning polls vote
Oct-05,guilty party donald nearly always best bet create many delays possible done every time charged
Oct-11,noticed cities trump says hates calls terrible cities majority black brown people also cities claimed stole election
Oct-09,far many reporters fear donald think appeasing protect wrong must warn public unique danger second trump administration poses
Oct-11,speech trump giving right sounds like dead six months one heart tell
Oct-10,trump makes bibles china trump made red hats china trump makes 100k watches china trump hired guy europe
Oct-08,still answer question donald trump tell bob woodward truth march 2020 american people
Oct-09,trump rallies two hours hate speech american flag flying background
Oct-11,speech trump giving right sounds like dead six months one heart tell
Oct-08,still answer question trump tell bob woodward truth covid march 2020 american public
Oct-11,omfg fuck wrong motherfuckers think somewhere like pennsylvania harris trump
Oct-11,george laura bush show courage even dick cheney warning us trump
Oct-08,hiding trump secretly conspires putin sent covid tests americans get calls mohammed bin sawing burner phone bob woodward cares book
Oct-08,president biden appointed sally yates ag instead garland nightmare trump election garland failure act timely contributed disaster
Oct-10,watching barack obama right reminds one effective orators lifetimes taking donald trump rallying kamala harris like never
Oct-09,reason north korea russia china amplifying trump depraved lies fema nation mortal enemies protect family voteblue
Oct-09,polls like donald trump guilty crimes accused yes 60 34 donald trump moral monster yes 74
Oct-11,breaking one trump tax cut allowed 15 corporations avoid paying 1 billion taxes including google meta amazon google alone saved 11 billion
Oct-10,detroit hosted largest nfl draft tigers playoffs lions headed super bowl without trump help
Oct-11,quick question everyone think trump dementia
Oct-11,get fact trump secretly shipped covid tests putin hospitals faced shortages americans scandalous revelation
Oct-07,donald trump adjudicated rapist convicted felon brags sexual assault stole right bodily autonomy
Oct-09,george bush bill clinton barack obama joe biden kamala harris held power 28 last 32 years five blaming trump
Oct-04,let summarize maga mentality news fake covid fake polls fake elections fake trump convictions fake
Oct-09,trump announced wind nothing left mind
Oct-11,zero doubt donald trump years held continues hold contents 4500 fbi citizens reports kompromat
Oct-10,obama gon na haunt donald trump dreams tonight
Oct-07,breaking following trump continued lies regarding hurricane relief republican governors come even republicans admitting trump lies dangerous
Oct-11,increasingly hyperbolic language trump migrant crime aurora talking communities invaded conquered immigrants
Oct-10,trump ruling presidential debates cnn inviting trump kamala harris participate town hall events voters
Oct-09,biden disinformation federal storm response lies trump led onslaught lies
Oct-09,called us insane saying trump serves putin slammed us saying kremlin asset well trump exposed sending covid tests putin
Oct-11,barack obama hitting campaign hard kamala leftists fawn obama spyed americans snowden trump
Oct-11,barack obama knows secret demolishing trump gleefully bully bully key
Oct-11,given chance donald trump would make america like russia needs stopped
Oct-07,mike johnson going let people die wants donald trump back white house
Oct-10,overlook comments made trump one rallies asking would rather black president white president
Oct-09,confused trump rally congress
Oct-10,another perk voting kamala harris donald trump finally held accountable
Oct-06,start long day think want respond heart bs livid anything would said would put black sedan driveway
Oct-09,omg mets
Oct-09,concise summary trump rally pa women stupid hate
Oct-10,see hear barack obama america follow brilliant obama morally bankrupt trump
Oct-11,people shocked find trump contact putin least 7 times since leaving office
Oct-09,donald trump taught us anything trusted help people disaster
Oct-11,trump clearly reading teleprompter aurora co said use teleprompters
Oct-09,long trump apply disaster relief florida property
Oct-09,president biden blistering trump marjorie taylor greene republicans spreading disinformation amid ongoing natural disasters
Oct-11,donald trump totally normal one posting thinks obama vote like kamala low iq person
Oct-10,obama absolutely wrecking trump right
Oct-10,donald trump stupidest motherfucker history stupidity
Oct-10,trump loudmouth bully back bus harassing everyone someone knocks fuck
Oct-09,reporter ask merrick garland trump arrested 7 recent conversations vladimir putin stole classified documents
Oct-10,trump autonomous vehicles death never work
Oct-09,donald trump old said people idea phone app nation 96 population smartphone
Oct-08,citizen trump 7 private calls putin since leaving office really going vote someone vladimir putin speed dial
Oct-09,news reporting kamala harris medicare proposal could transform care middle class
Oct-09,trump maga hellbent destroying american dream
Oct-10,post lot silly random nonsensical fluff life crazy rock levity came app find tribe trump admin
Oct-10,first case appeared january 20 february 7th trump sent ppe china virus shores gave away equipment needed protect us
Oct-04,trump posted truth social endorsed chase ceo jamie dimon dimon said true asked trump
Oct-10,reminder oklahoma maga lunatic superintendent wants spend taxpayer money trump bibles classrooms state
Oct-04,anyone deserves rot prison rest miserable life donald trump
Oct-08,many americans died donald sent covid tests russia
Oct-11,trump win election 6 months jd vance trump cabinet enact 25th amendment citing trump mental decline
Oct-10,wonder republicans hannity everyone else fox news would say found obama private phone conversations iran supreme leader
Oct-11,trump telling easily disproven blatant lies like even care know lying behaving like guy knows leader cult
Oct-11,kamala scripted teleprompter univision town hall getting ripped shreds latino morning programs
Oct-05,hurricane helene revealed lot donald trump americans needed support trump revealed selfish center showed
Oct-11,sorry tell vote help trump get elected walk free
Oct-09,got notification state ca ballot accepted counted easy vote everywhere harriswalz
Oct-07,trump nothing project heritage foundation everything project 2025 nothing trump
Oct-10,donald trump incoherent moron
Oct-09,let forget reason trump jail stealing classified documents appointed judge overseeing case
Oct-11,vote like life depends absolutely
Oct-10,kremlin confirmed trump sent tests putin pandemic
Oct-09,vote kamala harris tim walz america survive trump second time
Oct-10,harris generous honestly think trump loves family love anyone anything
Oct-11,gop buying polls make race look closer msm reporting narrative trump loses lot scream shenanigans
Oct-09,week alone learned trump sent covid testing machines putin 7 illicit conversations murderous dictator god bless usa bibles made china
Oct-08,trump lying fema middle deadly hurricane disqualify frankly warrants criminal investigation
Oct-08,trump lost 2020 election vp harris told stephen colbert know lose millions jobs lose auto plants lost election make loser
Oct-08,reach 75 hate fucking trump platform elonmusk evil turned twitter maga machine
Oct-10,president biden told donald trump get life
Oct-09,donald trump radical domestic terrorist going prison
Oct-11,guarantee next fox interview trump lie claim harris used teleprompter univision town hall whoever interview correct
Oct-09,kamala harris deserves chance prove lead america already know trump offer chaos lies division
Oct-09,breaking news cnn reporting sources confirmed trump gave putin egg mcmuffin medium coffee sources said trump americans need
Oct-09,get new power control weather got covid voted kamala told another maga tool go fuck
Oct-06,reince priebus abc saying trump threat democracy democratic talking fact 6 happened
