Date,Adj Close
2024-01-02,2012.800048828125
2024-01-03,1959.199951171875
2024-01-04,1957.72998046875
2024-01-05,1951.1400146484375
2024-01-08,1989.010009765625
2024-01-09,1968.0400390625
2024-01-10,1970.260009765625
2024-01-11,1955.4599609375
2024-01-12,1950.9599609375
2024-01-16,1927.300048828125
2024-01-17,1913.1700439453125
2024-01-18,1923.6500244140625
2024-01-19,1944.3900146484375
2024-01-22,1983.3800048828125
2024-01-23,1976.27001953125
2024-01-24,1961.8599853515625
2024-01-25,1975.8800048828125
2024-01-26,1978.3299560546875
2024-01-29,2011.4200439453125
2024-01-30,1996.239990234375
2024-01-31,1947.3399658203125
2024-02-01,1974.4200439453125
2024-02-02,1962.72998046875
2024-02-05,1937.239990234375
2024-02-06,1953.6300048828125
2024-02-07,1950.3599853515625
2024-02-08,1979.699951171875
2024-02-09,2009.989990234375
2024-02-12,2045.260009765625
2024-02-13,1964.1700439453125
2024-02-14,2012.0999755859375
2024-02-15,2061.47998046875
2024-02-16,2045.1400146484375
2024-02-20,2004.1400146484375
2024-02-21,1994.739990234375
2024-02-22,2013.8399658203125
2024-02-23,2016.68994140625
2024-02-26,2028.969970703125
2024-02-27,2056.110107421875
2024-02-28,2040.31005859375
2024-02-29,2054.840087890625
2024-03-01,2076.389892578125
2024-03-04,2074.31005859375
2024-03-05,2053.7099609375
2024-03-06,2068.090087890625
2024-03-07,2084.739990234375
2024-03-08,2082.7099609375
2024-03-11,2065.8798828125
2024-03-12,2065.47998046875
2024-03-13,2071.7099609375
2024-03-14,2031.1800537109375
2024-03-15,2039.3199462890625
2024-03-18,2024.739990234375
2024-03-19,2035.7099609375
2024-03-20,2074.8798828125
2024-03-21,2098.56005859375
2024-03-22,2072.0
2024-03-25,2074.159912109375
2024-03-26,2070.159912109375
2024-03-27,2114.35009765625
2024-03-28,2124.550048828125
2024-04-01,2102.840087890625
2024-04-02,2065.0400390625
2024-04-03,2076.199951171875
2024-04-04,2053.830078125
2024-04-05,2063.469970703125
2024-04-08,2073.7099609375
2024-04-09,2080.800048828125
2024-04-10,2028.3900146484375
2024-04-11,2042.5999755859375
2024-04-12,2003.1700439453125
2024-04-15,1975.7099609375
2024-04-16,1967.47998046875
2024-04-17,1947.949951171875
2024-04-18,1942.9599609375
2024-04-19,1947.6600341796875
2024-04-22,1967.469970703125
2024-04-23,2002.6400146484375
2024-04-24,1995.4300537109375
2024-04-25,1981.1199951171875
2024-04-26,2002.0
2024-04-29,2016.030029296875
2024-04-30,1973.9100341796875
2024-05-01,1980.22998046875
2024-05-02,2016.1099853515625
2024-05-03,2035.719970703125
2024-05-06,2060.669921875
2024-05-07,2064.64990234375
