Date,Tweet,Overall_Sentiment_Score
10/15/2024,rt projectlincoln every time trump speaks https,0.0
10/15/2024,rt palmerreport senile donald trump stops town hall questions insists standing listening music whole time,-0.1531
10/15/2024,rt kamalahq new 250 doctors health care providers call trump release medical records displaying,0.4939
10/15/2024,rt byroncderrick kamalahq pretty obvious trump fucking crazy could better vote blue straight ballot let get,0.6778
10/15/2024,rt kylenabecker vem miller man accused third trump assassination attempt denies reports pushes,-0.836
10/15/2024,rt eduardomenoni donald trump dice que la locura de izquierdista impuesta los es abuso infantil promete prohibir los,0.0
10/15/2024,rt acnewsitics trump voters nazis nazis trump voters trump voters however morons https,-0.3182
10/15/2024,rt raddatz incidents limited handful apartment complexes handful vance hear,-0.2263
10/15/2024,rt kylegriffin1 jd vance real plan potus chosen billionaire class plucked obscurity,0.0
10/15/2024,rt huffpost trump bizarre turn town hall critics asking new questions health https,-0.5423
10/15/2024,rt kamalahq trump appears lost confused frozen stage multiple songs play minutes crowd pours,-0.296
10/15/2024,rt ronfilipkowski curious see legacy media sanewashes performance tonight told people vote,0.3182
10/15/2024,rt realchrisrufo new york times lying plagiarism story receipts prove times claims,-0.5267
10/15/2024,rt nickknudsenus seriously sick media giving donald trump pass makes zero sense clearly rapid cognitive,0.0258
10/15/2024,rt deaconblues0 psychologist msm obsessed biden mental decline cognitively fine ignore,-0.34
10/15/2024,rt harrylitman trump team request chutkan granted seven days appeal releases redacted appendix,0.25
10/15/2024,complete,0.0
10/15/2024,rt benigma2017 true kamala harris wouldnt taking ads jill stein trying sue ballot,0.4215
10/15/2024,rt behizytweets breaking minutes bill clinton admitted tape laken riley would still alive,0.4588
10/15/2024,rt ppollingnumbers new winning model silver bulletin ðÿ µ harris 51 chance ðÿ trump,0.6597
10/15/2024,rt nypost today cover bill clinton got right harris broken border led laken murder https,-0.8316
10/15/2024,rt kimdotcom president biden said nothing acknowledge one greatest american achievements history innovator,-0.5216
10/15/2024,rt trumpstaxes six minutes need shared everyone much appreciation jake tapper properly reporting,0.6908
10/15/2024,rt destapandolose1 kamala harris con el traficante de puff diddy kamala que se dedicaba puff https,0.0
10/15/2024,rt 17thankq notice post trump today ðÿ https,0.0
10/15/2024,rt rpsagainsttrump america join trump boat parade hosted eric lara trump https,0.296
10/15/2024,susanmcgraw88 joncoopertweets go 45 fucking stupid something lie attack trump need turn cnn realize brainwashed need take break propaganda sick stage 4 tds sufferer,-0.9336
10/15/2024,rt iluminatibot remember time two undercover journalists exposed planned parenthood selling aborted baby body parts,-0.0772
10/15/2024,rt viku1111 think father wanted trump use fmj footage thoughts agree principle,0.3612
10/15/2024,rt radiofreetom donald fascist romp https,-0.5574
10/15/2024,rt lepapillonblu2 retweet reply love next president kamala harris amp next vp tim walz https,0.6369
10/15/2024,rt tomjchicago dementia trump town hall pa dissolved ended questions played songs instead kristi noem looked,0.34
10/15/2024,rt cernovich joe rogan fled california supported democrat policies texas register republican freeloaded,-0.0772
10/15/2024,rt gtconway3d miss president rally madison square garden sign ðÿ https,-0.1531
10/15/2024,rt kamalahq trump appears confused stage noem sir want play song greet people trump song noem,0.4019
10/15/2024,rt johnpavlovitz donald trump unwell time abc nbcnews cbsnews npr time nytimes foxnews msnbc nypost washingtonpost,0.0
10/15/2024,rt pnjaban kamala harris sf da one top deputies regularly rounded office urging prosecutors stop harris,-0.1027
10/15/2024,rt brazil takes time victory speech warn citizens vote trump unless want,-0.0258
10/15/2024,elonmusk vote trump orhers dump https,-0.3818
10/15/2024,anyonewantchips shows desperate democrats trying portray trump devil incarnate first try put trump jail fails try bankrupt failure try assassinate become impossible https https,-0.9468
10/15/2024,rt repswalwell sad former president donald trump appears brain dead hope family steps find help,-0.4215
10/15/2024,https october surprise trump completely lost marbles finally put sick guy closed institution,-0.5849
10/15/2024,rt gretchenwhitmer president donald trump talk promised bring manufacturing back shipped,0.3612
10/15/2024,cheap pay proper venue air conditioning ðÿ read trump stands awkwardly stage listening music 40 minutes rally attendees pass anybody else like faint smartnews https smartnews,-0.0516
10/15/2024,rt kamalahq tonight donald trump told supporters go vote rambled hannibal lecter cannibal,0.4404
10/15/2024,bill maher says worried trump winning election even headline news breakingnews worldnews topstories https https,0.296
10/15/2024,rt iamtommacdonald trump happened ðÿ https,0.0
10/15/2024,rt longislander520 senseiduckor yes want donald trump prosecution life sentence treason,-0.4215
10/15/2024,rt realsunshineluv trump associates came back said used r word vp harris calls n word day,0.0
10/15/2024,rt accountablegop cheney believes immune anything office respect rulings,0.6486
10/15/2024,rt westernlensman desperate kamala unleashes new fear campaign trump use military go journalists election,-0.6705
10/15/2024,rt nickknudsenus seriously sick media giving donald trump pass makes zero sense clearly rapid cognitive,0.0258
10/15/2024,rt teddec2 gadsaad martharaddatz abcnews martha raddatz rachel scott david muir george stephanopolus everyone abc,0.0
10/15/2024,rt wallstreetsilv trump truth social https,0.3182
10/15/2024,rt libsoftiktok kamala claims admin capped cost insulin 35 trump eliminate policy actually,0.0
10/15/2024,read los angeles mayor warns trump plans make homelessness smartnews https smartnews,-0.1027
10/15/2024,watch bill clinton unintentionally creates trump next campaign ad https,0.2732
10/15/2024,rt ananavarro kamalaharris released medical report donald trump would oldest president history released,0.0
10/15/2024,rt peaceandteachin trump gets heckled woman says hell beaten escorted,-0.8126
10/15/2024,nancysinatra would vote harris except failed deliver even one honest press conference history failed policies charge border broadband complete failures,-0.743
10/15/2024,kamalahq trump lowest black unemployment 60 plus years biden lowest black unemployment 3 years importantly trump highest black employment 50 plus years,-0.8271
10/15/2024,bidenwonthnkgod bostonglobe need economist tell trump president much better quality life even making less money save spiel eyes ears,0.7024
10/15/2024,rt rpsagainsttrump recall seeing anything like three weeks election trump unraveling front eyes,0.3612
10/15/2024,njdotcom democrats may lose nj trump never mind 7 lol,-0.6164
10/15/2024,elonmusk pmarca grok chose make built put swim trunks gooey cheese melt fun time grok probably caught glimpse slippery slope jumping trump rally https,0.5106
10/15/2024,chrislilbooksto stopped watching fox like cnn msnbc abc nbc cbs prepared means vp harris edit,0.3612
10/15/2024,rpsagainsttrump promoting lies trump supporters would never support constitution eradication support kamala one promising limit important right freedom speech x handle renamed tyrants trump,0.8943
10/15/2024,dat,0.0
10/15/2024,rt jackposobiec new york military academy marching nyc columbus day parade october 12 1963 led commanding officer,0.0
10/15/2024,rt calltoactivism donald trump mad retweet video going viral right following kamala harris decision,-0.4939
10/15/2024,rt accountablegop george biographer jon meachum vote sane vote,0.0
10/15/2024,rt ptlradioshow maga supporter downplays january 6th trump supporter david pollack discusses january 6th brian shapiro fact checks,0.4939
10/15/2024,rt breaking geraldo rivera announced endorsing kamala harris reaction https,0.0
10/15/2024,lunastryker1 hello luna thank much supporting trump best wishes amp regards,0.8807
10/15/2024,rt realbobwoodward february 1989 carlbernstein interviewed young donald trump old manhattan real estate,0.0
10/15/2024,rt actbrigitte blatant lie tim walz president trump want use military american,0.0772
10/15/2024,rt melaniatrumpo melania trump first lady yes drop https,0.1531
10/15/2024,rt gunthereagleman ðÿ jd vance called kamala harris plagiarizing book everyone knows kamala smart enough,0.4019
10/15/2024,rt michaelsteele actually happened realdonaldtrump standing around listening music 30 mins rally,0.0
10/15/2024,rt defiyantlyfree black experience trump rally honestly blows mind republican candidate gotten,0.4588
10/15/2024,donaldjtnewsx biden harris admin 4 years cheat 2024 election,-0.4588
10/15/2024,harris 2024 wokeness donaldtrump joebiden lgbtiqrights maga politics election2024 bible christians trump american makeamericagreatagain conservative republicans democrats kamalaharris gay gays gayrights gayworld lovewins https,0.0
10/15/2024,rt jojofromjerz time wheel fake oval office back nine trump national tell hand diet coke,0.0258
10/15/2024,rt scaramucci beware enemies everything influence vote trump flat fascist,-0.7783
10/15/2024,rt collinrugg report kamala harris considering sitting joe rogan interview according multiple sources spoke,0.0
10/15/2024,rt calltoactivism donald trump mad retweet video going viral right following kamala harris decision,-0.4939
10/15/2024,rt kamala harris wants america world highest death tax commentary stephen moore something,-0.5994
10/15/2024,rt rpsagainsttrump listen people worked closely donald trump man utterly unfit office https,0.0
10/15/2024,rt geraldorivera sore loser three weeks go election day donald trump stands reasonable chance becoming 47th,-0.5994
10/15/2024,laughed kamala harris wrongfully convicted rder maga maha usa texas oklahoma pennsylvania iowa ohio colorado mississippi georgia virginia westvirginia northcarolina tennessee florida utah newyork unitedstates northamerica https,0.4588
10/15/2024,rt trumpstaxes six minutes need shared everyone much appreciation jake tapper properly reporting,0.6908
10/15/2024,rt atensnut suppose campaign chose brett baier right baier never trump fan,-0.2411
10/15/2024,rt viku1111 think father wanted trump use fmj footage thoughts agree principle,0.3612
10/15/2024,rpsagainsttrump opinion trump needs psychiatric help feel going ptsd 1st assassination attempt trump 2016,-0.296
10/15/2024,rt defiyantlyfree obama rant tried shame black men really gift keeps giving obama,0.0917
10/15/2024,rt fawadbahawal bitcoin4freedom elonmusk voting trump despite reservations shows commitment policy personality focus,-0.2924
10/15/2024,rt jojofromjerz nyt called batshit insane thirty nine minute long psycho swaying random music,-0.4019
10/15/2024,rt shellenberger sounds shocking true world richest powerful people ngos amp governments conspiring,0.743
10/15/2024,rt winterspolitics kamala harris kill fox news interview drop ðÿ agree https,-0.6486
10/15/2024,rt blacksupremekai aye lol someone explain exactly trump going black folks cuz many,0.4215
10/15/2024,bussinwtb realdonaldtrump imagine miserable pissed 7 morning lighten people kamala harris knows ball would love hear bus nice hear people control lives talk someone news reporters,-0.1027
10/15/2024,rt ronxyz00 kamala harris released 20 years tax returns tim walz released 15 years tax returns trump forced,-0.4588
10/15/2024,rt mikenellis get 500 retweets today video kamala harris saying donald trump weak unstable lead,-0.6597
10/15/2024,rt gopjesususa urgent update management regrets inform followers president trump important identity,0.0258
10/15/2024,rt johnpavlovitz donald trump unwell time abc nbcnews cbsnews npr time nytimes foxnews msnbc nypost washingtonpost,0.0
10/15/2024,kamala oan staffâ brooke mallory pm monday october 14 2024 several paragraphs democrat presidential candidate kamala 2009 book found closely exactly wording sources leading accusations plagiarism https,-0.3182
